,time,relativehumidity_2m,cloudcover,latitude,longitude
122,2017-05-29T02:00,76,0,40.634,14.6027
123,2017-05-29T03:00,75,0,40.634,14.6027
124,2017-05-29T04:00,76,0,40.634,14.6027
125,2017-05-29T05:00,78,0,40.634,14.6027
126,2017-05-29T06:00,71,0,40.634,14.6027
127,2017-05-29T07:00,68,0,40.634,14.6027
128,2017-05-29T08:00,56,0,40.634,14.6027
129,2017-05-29T09:00,45,0,40.634,14.6027
130,2017-05-29T10:00,45,0,40.634,14.6027
131,2017-05-29T11:00,43,0,40.634,14.6027
132,2017-05-29T12:00,45,2,40.634,14.6027
133,2017-05-29T13:00,45,11,40.634,14.6027
134,2017-05-29T14:00,47,23,40.634,14.6027
135,2017-05-29T15:00,49,3,40.634,14.6027
136,2017-05-29T16:00,51,0,40.634,14.6027
137,2017-05-29T17:00,54,0,40.634,14.6027
138,2017-05-29T18:00,59,1,40.634,14.6027
139,2017-05-29T19:00,64,1,40.634,14.6027
140,2017-05-29T20:00,59,5,40.634,14.6027
141,2017-05-29T21:00,60,19,40.634,14.6027
142,2017-05-29T22:00,66,24,40.634,14.6027
143,2017-05-29T23:00,70,20,40.634,14.6027
144,2017-05-30T00:00,71,13,40.634,14.6027
145,2017-05-30T01:00,73,11,40.634,14.6027
146,2017-05-30T02:00,73,12,40.634,14.6027
147,2017-05-30T03:00,76,11,40.634,14.6027
148,2017-05-30T04:00,81,6,40.634,14.6027
149,2017-05-30T05:00,84,3,40.634,14.6027
150,2017-05-30T06:00,82,10,40.634,14.6027
151,2017-05-30T07:00,81,14,40.634,14.6027
152,2017-05-30T08:00,78,7,40.634,14.6027
153,2017-05-30T09:00,66,3,40.634,14.6027
154,2017-05-30T10:00,62,2,40.634,14.6027
155,2017-05-30T11:00,61,2,40.634,14.6027
156,2017-05-30T12:00,60,0,40.634,14.6027
157,2017-05-30T13:00,59,2,40.634,14.6027
158,2017-05-30T14:00,59,7,40.634,14.6027
159,2017-05-30T15:00,61,5,40.634,14.6027
160,2017-05-30T16:00,62,7,40.634,14.6027
161,2017-05-30T17:00,64,7,40.634,14.6027
162,2017-05-30T18:00,71,7,40.634,14.6027
163,2017-05-30T19:00,77,3,40.634,14.6027
164,2017-05-30T20:00,73,1,40.634,14.6027
165,2017-05-30T21:00,77,1,40.634,14.6027
166,2017-05-30T22:00,81,1,40.634,14.6027
167,2017-05-30T23:00,80,1,40.634,14.6027
168,2017-05-31T00:00,81,0,40.634,14.6027
169,2017-05-31T01:00,83,0,40.634,14.6027
170,2017-05-31T02:00,85,1,40.634,14.6027
171,2017-05-31T03:00,86,11,40.634,14.6027
172,2017-05-31T04:00,86,37,40.634,14.6027
173,2017-05-31T05:00,88,46,40.634,14.6027
174,2017-05-31T06:00,87,48,40.634,14.6027
175,2017-05-31T07:00,85,56,40.634,14.6027
176,2017-05-31T08:00,81,36,40.634,14.6027
177,2017-05-31T09:00,71,17,40.634,14.6027
178,2017-05-31T10:00,69,5,40.634,14.6027
179,2017-05-31T11:00,68,1,40.634,14.6027
180,2017-05-31T12:00,66,3,40.634,14.6027
181,2017-05-31T13:00,65,7,40.634,14.6027
182,2017-05-31T14:00,64,15,40.634,14.6027
183,2017-05-31T15:00,63,15,40.634,14.6027
184,2017-05-31T16:00,64,9,40.634,14.6027
185,2017-05-31T17:00,65,13,40.634,14.6027
186,2017-05-31T18:00,71,14,40.634,14.6027
187,2017-05-31T19:00,74,12,40.634,14.6027
188,2017-05-31T20:00,70,7,40.634,14.6027
189,2017-05-31T21:00,75,4,40.634,14.6027
190,2017-05-31T22:00,75,4,40.634,14.6027
191,2017-05-31T23:00,80,4,40.634,14.6027
192,2017-06-01T00:00,81,1,40.634,14.6027
193,2017-06-01T01:00,82,1,40.634,14.6027
194,2017-06-01T02:00,85,0,40.634,14.6027
195,2017-06-01T03:00,88,4,40.634,14.6027
196,2017-06-01T04:00,90,17,40.634,14.6027
197,2017-06-01T05:00,91,19,40.634,14.6027
198,2017-06-01T06:00,88,24,40.634,14.6027
199,2017-06-01T07:00,86,22,40.634,14.6027
200,2017-06-01T08:00,80,10,40.634,14.6027
201,2017-06-01T09:00,69,7,40.634,14.6027
202,2017-06-01T10:00,65,15,40.634,14.6027
203,2017-06-01T11:00,63,22,40.634,14.6027
204,2017-06-01T12:00,62,27,40.634,14.6027
205,2017-06-01T13:00,61,42,40.634,14.6027
206,2017-06-01T14:00,62,52,40.634,14.6027
207,2017-06-01T15:00,60,44,40.634,14.6027
208,2017-06-01T16:00,60,6,40.634,14.6027
209,2017-06-01T17:00,61,3,40.634,14.6027
210,2017-06-01T18:00,67,7,40.634,14.6027
211,2017-06-01T19:00,71,9,40.634,14.6027
212,2017-06-01T20:00,66,8,40.634,14.6027
213,2017-06-01T21:00,75,9,40.634,14.6027
214,2017-06-01T22:00,79,4,40.634,14.6027
215,2017-06-01T23:00,80,0,40.634,14.6027
216,2017-06-02T00:00,79,0,40.634,14.6027
217,2017-06-02T01:00,81,1,40.634,14.6027
218,2017-06-02T02:00,85,0,40.634,14.6027
219,2017-06-02T03:00,88,2,40.634,14.6027
220,2017-06-02T04:00,88,13,40.634,14.6027
221,2017-06-02T05:00,90,29,40.634,14.6027
222,2017-06-02T06:00,87,29,40.634,14.6027
223,2017-06-02T07:00,84,23,40.634,14.6027
224,2017-06-02T08:00,81,29,40.634,14.6027
225,2017-06-02T09:00,69,30,40.634,14.6027
226,2017-06-02T10:00,65,30,40.634,14.6027
227,2017-06-02T11:00,62,30,40.634,14.6027
228,2017-06-02T12:00,61,29,40.634,14.6027
229,2017-06-02T13:00,58,27,40.634,14.6027
230,2017-06-02T14:00,57,10,40.634,14.6027
231,2017-06-02T15:00,57,2,40.634,14.6027
232,2017-06-02T16:00,59,0,40.634,14.6027
233,2017-06-02T17:00,61,0,40.634,14.6027
234,2017-06-02T18:00,69,0,40.634,14.6027
